movie,recommendation_1,recommendation_2,recommendation_3,recommendation_4,recommendation_5
The Mask of Zorro,The Legend of Zorro,Johnny English,San Andreas,Puss in Boots,"It's a Mad, Mad, Mad, Mad World"
Due Date,Wild Grass,Forgetting Sarah Marshall,Trucker,Punch-Drunk Love,The Amazing Spider-Man 2
Unbroken,Fort McCoy,Red Tails,Letters from Iwo Jima,Enemy at the Gates,Catch-22
Space Cowboys,Armageddon,Interstellar,Moonraker,Capricorn One,You Only Live Twice
Cliffhanger,Payback,Jurassic Park III,Dysfunctional Friends,Without a Paddle,Extreme Ops
Broken Arrow,Red Sky,Good Kill,Firefox,Flight of the Phoenix,Behind Enemy Lines
The Kid,The Love Guru,A Simple Wish,Up,Growing Up Smith,Mirrormask
World Trade Center,San Andreas,Vertical Limit,Mars Needs Moms,Choke,Behind Enemy Lines
Mona Lisa Smile,Larry Crowne,National Lampoon’s Van Wilder,The Express,Peaceful Warrior,The Exploding Girl
The Dictator,Joy,21 & Over,It's All Gone Pete Tong,The Loss of Sexual Innocence,Barney's Version
Eyes Wide Shut,The Loss of Sexual Innocence,Spellbound,Gone Girl,Loving Annabelle,Unfaithful
Annie,Snow Angels,Vertical Limit,Three Men and a Baby,Pocketful of Miracles,Trust
Focus,Bend It Like Beckham,Butterfly,Lovely & Amazing,The Sting,Nine Queens
This Means War,Whipped,The Helix... Loaded,Dry Spell,She's Out of My League,Hav Plenty
Blade: Trinity,Blade,Blade II,BloodRayne,Dracula 2000,The Forsaken
Red Dawn,Light It Up,Snow Day,21 Jump Street,UnDivided,There Goes My Baby
Primary Colors,Swing Vote,Ladder 49,Dick,The Ides of March,My Fellow Americans
Resident Evil: Retribution,Resident Evil: Afterlife,Resident Evil,Resident Evil: Apocalypse,Resident Evil: Extinction,I Am Legend
Death Race,Nighthawks,The Purge: Anarchy,Resident Evil: Retribution,The Day After Tomorrow,Mad Max Beyond Thunderdome
The Long Kiss Goodnight,Harsh Times,The Sentinel,Rampage,Tumbleweeds,Homefront
Proof of Life,Silver Medalist,Switchback,Raise the Titanic,Extreme Ops,The Negotiator
Zathura: A Space Adventure,Escape from Planet Earth,Inkheart,Lost in Space,Titan A.E.,Gravity
Fight Club,This Is Martin Bonner,Northfork,Never Back Down,Blue Like Jazz,Promised Land
We Are Marshall,The Waterboy,When the Game Stands Tall,Facing the Giants,The 5th Quarter,The Game of Their Lives
Hudson Hawk,Silver Medalist,High Heels and Low Lifes,3 Strikes,The Helix... Loaded,30 Minutes or Less
Lucky Numbers,Waking Ned,"I Love You, Don't Touch Me!",Nightcrawler,Win a Date with Tad Hamilton!,The Crew
"I, Frankenstein",Victor Frankenstein,Tales from the Crypt: Demon Knight,Young Frankenstein,Cavite,The Prophecy
Oliver Twist,Oliver!,The Sound of Music,Dom Hemingway,"Yours, Mine and Ours",Stand by Me
Elektra,The Assassin,Ong Bak 2,Commando,The Last Godfather,Close Range
Sin City: A Dame to Kill For,Sin City,Insomnia,Minority Report,Cure,The Postman Always Rings Twice
Random Hearts,La Bamba,Faithful,Final Destination,Moonlight Mile,"Sex, Lies, and Videotape"
Everest,Vertical Limit,127 Hours,End of the Spear,The Revenant,Abandoned
Perfume: The Story of a Murderer,Pierrot le Fou,Irreversible,The Conformist,Killing Zoe,"As Above, So Below"
Austin Powers in Goldmember,Austin Powers: The Spy Who Shagged Me,Austin Powers: International Man of Mystery,Spy Kids: All the Time in the World,Team America: World Police,G-Force
Astro Boy,Metropolis,Nicholas Nickleby,Man of Steel,Bicentennial Man,The Thief and the Cobbler
Jurassic Park,Jurassic World,The Lost World: Jurassic Park,Jurassic Park III,The Nut Job,Walking With Dinosaurs
Wyatt Earp,Silverado,Love Me Tender,Open Range,Nicholas Nickleby,The Timber
Clear and Present Danger,Patriot Games,Jack Ryan: Shadow Recruit,Sicario,Salt,The Hunting Party
Dragon Blade,Silver Medalist,Love Me Tender,Blackthorn,Flight of the Phoenix,Wyatt Earp
Little Man,Three Men and a Baby,Baby's Day Out,Neighbors,Like Mike,Tsotsi
U-571,Fury,Fort McCoy,Red Tails,Letters from Iwo Jima,Enemy at the Gates
The American President,Boynton Beach Club,Solitary Man,The Brothers Bloom,Two Can Play That Game,Man of the Year
The Love Guru,Lage Raho Munna Bhai,Cool Runnings,Lovely & Amazing,Police Academy: Mission to Moscow,The Kid
3000 Miles to Graceland,Heist,The Ladykillers,Walking Tall,Rat Race,30 Minutes or Less
The Hateful Eight,Amidst the Devil's Wings,Basic,Nine Queens,The Lady from Shanghai,Double Jeopardy
Blades of Glory,Miracle,The Helix... Loaded,Rocket Singh: Salesman of the Year,The Benchwarmers,Rush
Hop,Coffee Town,Camping Sauvage,My Big Fat Greek Wedding 2,The Flintstones in Viva Rock Vegas,Down & Out With The Dolls
300,300: Rise of an Empire,The Thin Red Line,Alexander,We Were Soldiers,One Man's Hero
Meet the Fockers,My Big Fat Greek Wedding,Meet the Parents,Guess Who,Date Movie,Little Fockers
Marley & Me,Marmaduke,Johnson Family Vacation,The Master of Disguise,102 Dalmatians,The Shaggy Dog
The Green Mile,Monster's Ball,White Noise 2: The Light,Auto Focus,Hereafter,Point Blank
Wild Hogs,Silver Medalist,30 Minutes or Less,Alpha and Omega: The Legend of the Saw Tooth Cave,Cars 2,Ice Age: Continental Drift
Chicken Little,Escape from Planet Earth,Planet 51,Chicken Run,Aliens in the Attic,Mars Needs Moms
Gone Girl,Shutter Island,In the Valley of Elah,The Girl with the Dragon Tattoo,Jack Reacher,Amnesiac
The Bourne Identity,The Bourne Supremacy,The Bourne Ultimatum,Jason Bourne,The Bourne Legacy,Hitman
GoldenEye,Licence to Kill,Octopussy,Die Another Day,Live and Let Die,The Living Daylights
The General's Daughter,Edge of Darkness,The Betrayed,Nancy Drew,I Am Wrath,All Good Things
The Truman Show,Raising Helen,Up,Nurse Betty,A Cock and Bull Story,It's All Gone Pete Tong
The Prince of Egypt,Exodus: Gods and Kings,Harriet the Spy,End of the Spear,Return to Never Land,Pocahontas
Daddy Day Care,Cheaper by the Dozen 2,"Yours, Mine and Ours",My Big Fat Greek Wedding 2,Another Happy Day,Ri¢hie Ri¢h
2 Guns,Point Break,Undercover Brother,Taxman,"Big Mommas: Like Father, Like Son",Donnie Brasco
Cats & Dogs,102 Dalmatians,My Big Fat Greek Wedding 2,Good Boy!,Marley & Me,Snow Dogs
The Italian Job,Point Blank,Hit & Run,Amidst the Devil's Wings,King's Ransom,Four Brothers
Two Weeks Notice,A Room with a View,I Am Sam,50 First Dates,Blow,Thinner
Antz,A Bug's Life,Delgo,Aladdin,Frozen,Shrek
Couples Retreat,Club Dread,Why Did I Get Married Too?,Swept Away,You Will Meet a Tall Dark Stranger,Town & Country
Days of Thunder,The Final Destination,Driven,Cars 2,Herbie Fully Loaded,Speedway Junky
Cheaper by the Dozen 2,Love the Coopers,"Yours, Mine and Ours",The Master of Disguise,My Big Fat Greek Wedding 2,Johnson Family Vacation
Maze Runner: The Scorch Trials,The Maze Runner,Mad Max: Fury Road,Zombie Hunter,Terminator 2: Judgment Day,Carriers
Eat Pray Love,Juliet and Alfa Romeo,Living Out Loud,Open Road,How Stella Got Her Groove Back,Desert Dancer
The Family Man,Peggy Sue Got Married,The Family Stone,Christmas Eve,The Holiday,Man on the Moon
RED,RED 2,The November Man,The Crew,Bad Company,Hitman
Any Given Sunday,"Mystery, Alaska",Raising Helen,Grandma's Boy,"Synecdoche, New York",Ali
The Horse Whisperer,Redemption Road,Of Horses and Men,The Young and Prodigious T.S. Spivet,The Heart of Me,Love Me Tender
Collateral,Nine Queens,Easy Money,Frenzy,Blood Ties,Heartbreakers
The Scorpion King,Year One,Gods of Egypt,Silver Medalist,Furious 7,Thor
Ladder 49,Highway,Firewall,Patriot Games,A Thousand Words,I Am Wrath
Jack Reacher,The Blue Room,Frenzy,City By The Sea,Dead Man Down,Mi America
Deep Blue Sea,Rise of the Planet of the Apes,A Separation,Iris,The Helix... Loaded,X-Men: The Last Stand
This Is It,Scott Walker: 30 Century Man,Glee: The Concert Movie,The Last Waltz,Woodstock,Walk Hard: The Dewey Cox Story
Contagion,Outbreak,Quarantine,I Am Legend,Doomsday,28 Days Later
Kangaroo Jack,Crocodile Dundee II,Australia,Midnight Run,The Jerky Boys,Mutual Appreciation
Coraline,Dwegons,Spirited Away,Ponyo,Spirit: Stallion of the Cimarron,Rise of the Guardians
The Happening,Deterrence,The Boys from Brazil,Invasion U.S.A.,Jurassic World,Containment
Man on Fire,The November Man,Sicario,Double Take,Harsh Times,Taken 2
The Shaggy Dog,Marley & Me,Post Grad,Good Boy!,Johnson Family Vacation,Benji
Starsky & Hutch,Donnie Brasco,Zoolander 2,In Bruges,Zoolander,Night at the Museum: Battle of the Smithsonian
Jingle All the Way,Character,The Santa Clause,Arthur Christmas,Paa,The Hebrew Hammer
Hellboy,Epic,Captain America: The First Avenger,Hellboy II: The Golden Army,U-571,Saints and Soldiers
A Civil Action,The Verdict,Misconduct,My Cousin Vinny,Philadelphia,The Judge
ParaNorman,Rango,Into the Woods,The Boxtrolls,Blazing Saddles,Dream House
The Jackal,Mindhunters,Mercury Rising,Stone Cold,The X Files: I Want to Believe,Sicario
Paycheck,Charlie's Angels,Mr. & Mrs. Smith,Congo,The Helix... Loaded,Timecop
Up Close & Personal,"Lovely, Still",Beyond the Lights,Pink Narcissus,The Good Night,Code 46
The Tale of Despereaux,Stuart Little 2,Puss in Boots,Brave,Frozen,Flushed Away
The Tuxedo,Run All Night,The Helix... Loaded,Bubble Boy,Kiss of Death,Lucky Break
Under Siege 2: Dark Territory,The Peacemaker,The Missing Person,Train,Def-Con 4,Act of Valor
Jack Ryan: Shadow Recruit,The Sum of All Fears,Clear and Present Danger,Patriot Games,The November Man,Act of Valor
Joy,The Dictator,The Loss of Sexual Innocence,Silver Linings Playbook,Nowhere Boy,It's All Gone Pete Tong
London Has Fallen,Nighthawks,United 93,The Man Who Knew Too Little,The Siege,Amidst the Devil's Wings
Alien: Resurrection,Aliens,Ripley's Game,The Specials,Independence Daysaster,Alien³
Shooter,Amidst the Devil's Wings,Point Blank,Exiled,The Sentinel,United 93
The Boxtrolls,The Croods,Dinosaur,Over the Hedge,The Master of Disguise,Ri¢hie Ri¢h
Practical Magic,Into the Woods,Life During Wartime,A Simple Wish,Night at the Museum: Secret of the Tomb,Eulogy
The Lego Movie,The Adventures of Rocky & Bullwinkle,Curious George,Percy Jackson: Sea of Monsters,The Boxtrolls,Penguins of Madagascar
Miss Congeniality 2: Armed and Fabulous,Miss Congeniality,The Helix... Loaded,Mercury Rising,"Big Mommas: Like Father, Like Son",The X Files: I Want to Believe
Reign of Fire,Eragon,Dragonslayer,George and the Dragon,How to Train Your Dragon 2,The Monkey King 2
Gangster Squad,The Fast and the Furious,In Too Deep,Limbo,Amidst the Devil's Wings,Wonderland
Year One,The Croods,National Lampoon's Vacation,Ice Age: Continental Drift,The Scorpion King,About Last Night
Invictus,Mandela: Long Walk to Freedom,Cry Freedom,Miracle,Goodbye Bafana,My All American
State of Play,The Insider,Zulu,Chain of Command,Absolute Power,Project X
Duplicity,They Came Together,How Do You Know,Two Can Play That Game,Drive Hard,Mystic Pizza
My Favorite Martian,About Time,Dinner for Schmucks,Independence Daysaster,Planet 51,Eulogy
The Sentinel,The Interpreter,Ballistic: Ecks vs. Sever,The X Files: I Want to Believe,Face/Off,In Her Line of Fire
Planet 51,Escape from Planet Earth,Meet Dave,Home,The Hitchhiker's Guide to the Galaxy,Alien
Star Trek: Nemesis,Star Trek: Insurrection,Star Trek: First Contact,Star Trek: Generations,Star Trek Beyond,Star Trek V: The Final Frontier
Intolerable Cruelty,Bridget Jones's Diary,Thinner,The Lincoln Lawyer,Serving Sara,Killers
Trouble with the Curve,For Love of the Game,To Kill a Mockingbird,Mr. 3000,42,Summer Catch
Edge of Darkness,Murder by Numbers,The Pledge,The Good German,The General's Daughter,I Am Wrath
The Relic,Night at the Museum,Mad City,Sphinx,House of Wax,Night at the Museum: Battle of the Smithsonian
Analyze That,Analyze This,Police Academy: Mission to Moscow,Penitentiary,The Longest Yard,The Love Guru
Righteous Kill,Dead Man Down,I Am Wrath,All Good Things,Nighthawks,City By The Sea
Mercury Rising,The X Files: I Want to Believe,Miss Congeniality 2: Armed and Fabulous,"Big Mommas: Like Father, Like Son",The Jackal,Sicario
The Soloist,Mutual Appreciation,Water & Power,Fame,Crash,Shattered Glass
The Legend of Bagger Vance,Rounders,Flyboys,Mirrormask,War Horse,Fort McCoy
Almost Famous,Danny Collins,Hedwig and the Angry Inch,Down & Out With The Dolls,Stories of Our Lives,I Love Your Work
Garfield: A Tail of Two Kitties,Garfield,When the Cat's Away,Top Cat Begins,The Cat in the Hat,Muppets Most Wanted
xXx: State of the Union,The Last Castle,Extreme Ops,Basic,The Sentinel,Conspiracy Theory
Priest,Blade II,Vampires,Underworld,BloodRayne,Underworld: Evolution
Sinbad: Legend of the Seven Seas,Flash Gordon,The Adventurer: The Curse of the Midas Box,Stardust,Up,Return to Never Land
Event Horizon,Solaris,The Black Hole,Aliens,Pandorum,Devil
Dragonfly,Patch Adams,The Country Doctor,Fear Clinic,Extreme Measures,Godsend
The Black Dahlia,Undiscovered,An American in Hollywood,Nicholas Nickleby,I Come with the Rain,Dark Blue
Flyboys,Red Tails,The Horseman on the Roof,Tora! Tora! Tora!,Joyeux Noël,Fort McCoy
The Last Castle,The Living Daylights,Civil Brand,The Warlords,xXx: State of the Union,Amidst the Devil's Wings
Supernova,The Black Hole,Ghost Ship,Serenity,"20,000 Leagues Under the Sea",Titanic
Winter's Tale,The New World,The Lunchbox,The Heart of Me,The Twilight Saga: Breaking Dawn - Part 2,A Walk to Remember
The Mortal Instruments: City of Bones,The Twilight Saga: Breaking Dawn - Part 2,BloodRayne,Prince of Persia: The Sands of Time,Epic,Underworld: Evolution
Meet Dave,Journey to Saturn,Space Pirate Captain Harlock,Planet 51,The Hitchhiker's Guide to the Galaxy,Alien
Dark Water,Please Give,House at the End of the Street,Out of the Dark,The Wailing,Jersey Girl
Edtv,Good Dick,Strange Wilderness,Videodrome,Bamboozled,The Truman Show
Inkheart,The NeverEnding Story,Puss in Boots,Asterix at the Olympic Games,The Book of Life,Nicholas Nickleby
The Spirit,The Helix... Loaded,Defendor,Hobo with a Shotgun,Premium Rush,Code of Honor
Mortdecai,Three Kings,The Chronicles of Narnia: The Voyage of the Dawn Treader,30 Minutes or Less,White Fang,Hudson Hawk
In the Name of the King: A Dungeon Siege Tale,Character,The Musketeer,Seventh Son,The Hebrew Hammer,The Beastmaster
Beyond Borders,The Lovers,Flyboys,Legends of the Fall,Restless,In the Land of Blood and Honey
The Monkey King 2,The Forbidden Kingdom,Ironclad,Epic,G-Force,Mirrormask
The Great Raid,Red Tails,Enemy at the Gates,Fury,Fort McCoy,Unbroken
Deadpool,MacGruber,Ant-Man,Iron Man 2,X-Men,Silver Medalist
Holy Man,To Die For,Confessions of a Dangerous Mind,Beavis and Butt-Head Do America,Twilight Zone: The Movie,The Best Little Whorehouse in Texas
American Sniper,Fort McCoy,The Great Raid,Three Kings,Stop-Loss,Saints and Soldiers
Goosebumps,Lesbian Vampire Killers,Blood and Chocolate,Krampus,Nim's Island,Inkheart
Just Like Heaven,The Other End of the Line,Click,Ghostbusters,Jumper,Going the Distance
The Flintstones in Viva Rock Vegas,The Brothers McMullen,Accidental Love,16 to Life,Zookeeper,Elsa & Fred
Rambo III,Rambo: First Blood Part II,The Kite Runner,The 13th Warrior,Taxi to the Dark Side,xXx
Leatherheads,The Express,Solitary Man,Catch-22,Gods and Generals,Henry V
The Ridiculous 6,The Timber,Spirit: Stallion of the Cimarron,Bad Grandpa,Trees Lounge,Inkheart
Did You Hear About the Morgans?,The Out-of-Towners,The Whole Nine Yards,Alvin and the Chipmunks: The Road Chip,Four Single Fathers,16 to Life
The Internship,Zoolander 2,Daddy Day Care,Extreme Movie,Half Baked,Foolish
Resident Evil: Afterlife,Resident Evil: Retribution,Resident Evil: Extinction,Resident Evil,Navy Seals vs. Zombies,I Am Legend
Red Tails,Proud,Letters from Iwo Jima,Saints and Soldiers,Flyboys,The Great Raid
The Devil's Advocate,Devil,The Skeleton Key,The Yards,The Haunting in Connecticut 2: Ghosts of Georgia,The Omen
That's My Boy,Teen Wolf Too,Soldier,The Cookout,My Big Fat Greek Wedding 2,Liar Liar
DragonHeart,Dragonslayer,Jack the Giant Slayer,Your Highness,Harry Potter and the Prisoner of Azkaban,Maleficent
After the Sunset,The Crew,Amidst the Devil's Wings,Miss Congeniality 2: Armed and Fabulous,Quartet,RED
Ghost Rider: Spirit of Vengeance,Ghost Rider,Alleluia! The Devil's Carnival,Mirrormask,The Shadow,End of Days
Captain Corelli's Mandolin,Veer-Zaara,Mambo Italiano,Dear John,My Big Fat Greek Wedding,The Lovers
The Pacifier,Four Single Fathers,The Spy Next Door,Cheaper by the Dozen 2,"Yours, Mine and Ours",Darkness
Walking Tall,10th & Wolf,Gridiron Gang,Amidst the Devil's Wings,Dead Man's Shoes,Trash
Forrest Gump,Veer-Zaara,The Velocity of Gary,Housefull,"Lovely, Still",Love Letters
Alvin and the Chipmunks,Alvin and the Chipmunks: The Squeakquel,The Bélier Family,Fantasia 2000,Alvin and the Chipmunks: Chipwrecked,This Is It
Meet the Parents,Little Fockers,Meet the Fockers,Guess Who,My Big Fat Greek Wedding 2,"Run, Fatboy, Run"
Pocahontas,Return to Never Land,Aladdin,Frozen,The Book of Life,Ice Age: Continental Drift
Superman,Superman II,Superman Returns,Superman III,Superman IV: The Quest for Peace,Man of Steel
The Nutty Professor,Nutty Professor II: The Klumps,Don Juan DeMarco,The Time Traveler's Wife,The Helix... Loaded,The Wash
Hitch,Enough Said,This Means War,Albert Nobbs,Fat Albert,Love Jones
George of the Jungle,Curious George,Jungle Shuffle,Rio 2,The Legend of Tarzan,Roar
American Wedding,The Rookie,American Pie 2,Bachelorette,Project X,A Guy Thing
Captain Phillips,Raise the Titanic,Titanic,"20,000 Leagues Under the Sea",Pirates of the Caribbean: Dead Man's Chest,Poseidon
Date Night,All or Nothing,My Best Friend's Girl,Blended,Ted 2,Moms' Night Out
Casper,The Haunted Mansion,Lady in White,Ghostbusters,Beetlejuice,Thir13en Ghosts
The Equalizer,Hitman,Eastern Promises,Devil's Due,I Am Wrath,Point Blank
Maid in Manhattan,The Second Best Exotic Marigold Hotel,The Grand Budapest Hotel,The Best Exotic Marigold Hotel,Bobby,Dirty Pretty Things
Crimson Tide,K-19: The Widowmaker,The Hunt for Red October,Unstoppable,Starship Troopers,Tomorrow Never Dies
The Pursuit of Happyness,Boiler Room,Dutch Kills,Flash of Genius,The Wolf of Wall Street,Wall Street
Flightplan,The Pledge,Trash,10th & Wolf,Goddess of Love,The Unborn
Disclosure,The Spanish Prisoner,Awake,The Loss of Sexual Innocence,Original Sin,Nine Queens
City of Angels,The Prophecy,What Dreams May Come,The Lunchbox,Undiscovered,The Fountain
Kill Bill: Vol. 1,Kill Bill: Vol. 2,Patriot Games,Street Fighter: The Legend of Chun-Li,Black Rain,Ninja Assassin
Bowfinger,The Artist,Silent Movie,Bucky Larson: Born to Be a Star,An American in Hollywood,Cats Don't Dance
Kill Bill: Vol. 2,Exiled,Kill Bill: Vol. 1,Point Blank,Crank,Oldboy
Tango & Cash,Bon Cop Bad Cop,Novocaine,Double Jeopardy,Amidst the Devil's Wings,Training Day
Death Becomes Her,Diary of a Mad Black Woman,Sliding Doors,H.,The Motel,Ernest & Celestine
Shanghai Noon,Shanghai Knights,Shrek,Star Wars,Royal Kill,Marci X
Executive Decision,Extreme Ops,Captain Phillips,Eden,Air Force One,Swordfish
Mr. Popper's Penguins,Happy Feet,Happy Feet Two,The Master of Disguise,Alvin and the Chipmunks: The Road Chip,The Pallbearer
The Forbidden Kingdom,The Monkey King 2,Six-String Samurai,Dragonball Evolution,Legend of a Rabbit,The Medallion
Free Birds,Christmas Mail,Christmas with the Kranks,My Big Fat Greek Wedding 2,Deck the Halls,Extreme Movie
Alien³,Aliens,Alien,Riddick,The Day the Earth Stood Still,Escape from Planet Earth
Evita,La Bamba,The Last Five Years,Beyond the Sea,Holy Motors,ABCD (Any Body Can Dance)
Ronin,The Boondock Saints,Walking Tall,Extreme Ops,Hollywood Homicide,Dick Tracy
The Ghost and the Darkness,Roar,Madagascar,Out of Africa,Duma,The Legend of Tarzan
Paddington,The Country Bears,Ernest & Celestine,Nicholas Nickleby,Ted,"Alexander and the Terrible, Horrible, No Good, Very Bad Day"
The Watch,Hall Pass,Chicken Little,"Dude, Where’s My Car?",Mr. & Mrs. Smith,Aliens in the Attic
The Hunted,Amidst the Devil's Wings,Nine Queens,Mercury Rising,Sicario,United 93
Instinct,Spellbound,Evil Words,Amistad,Side Effects,Last I Heard
Stuck on You,Two Girls and a Guy,Saving Mr. Banks,Paparazzi,Bucky Larson: Born to Be a Star,Clueless
Semi-Pro,Glory Road,The Benchwarmers,The Other Dream Team,Coach Carter,Juwanna Mann
The Pirates! In an Adventure with Scientists!,VeggieTales: The Pirates Who Don't Do Anything,The Pirate,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: On Stranger Tides,Pan
Changeling,The Negotiator,Frenzy,Red Riding: In the Year of Our Lord 1974,City By The Sea,Wonderland
Chain Reaction,The Helix... Loaded,The Negotiator,Echo Dr.,Conspiracy Theory,Shooter
The Fan,N-Secure,The Perfect Game,The Pledge,Young Sherlock Holmes,All Good Things
The Phantom of the Opera,Love Letters,The Broadway Melody,Dear John,Forrest Gump,Annie Hall
Elizabeth: The Golden Age,Elizabeth,Gosford Park,Marie Antoinette,Waterloo,The Other Boleyn Girl
Æon Flux,Megiddo: The Omega Code 2,Sleeper,I Spy,Spy Kids: All the Time in the World,I Am Legend
Gods and Generals,Inchon,Operation Chromite,Fort McCoy,Glory,Red Tails
Turbulence,Snakes on a Plane,United 93,Airplane!,Left Behind,Checkmate
Imagine That,I Don't Know How She Does It,Jersey Girl,Road Hard,Extreme Movie,Penguins of Madagascar
Muppets Most Wanted,The Muppet Movie,The Croods,Cars 2,Charlie and the Chocolate Factory,Ice Age: Continental Drift
Thunderbirds,The Helix... Loaded,Small Soldiers,G-Force,Muppets from Space,Spy Kids 3-D: Game Over
Burlesque,Mumford,Rock of Ages,Splash,Raise Your Voice,A Walk to Remember
A Very Long Engagement,The Conformist,Elling,Smoke Signals,Pierrot le Fou,Bronson
Lolita,Pandora's Box,Sideways,The Tourist,The Four Seasons,Pocahontas
D-Tox,Switchback,Mindhunters,Suspect Zero,The X Files: I Want to Believe,Red Dragon
Blade II,Blade,BloodRayne,Blade: Trinity,Underworld: Awakening,Stake Land
Seven Pounds,Redemption Road,At First Sight,The Last Sin Eater,Punch-Drunk Love,End of the Spear
Bullet to the Head,Nighthawks,Ballistic: Ecks vs. Sever,Chicago Overcoat,In Too Deep,Premium Rush
The Godfather: Part III,The Godfather: Part II,The Godfather,We Own the Night,Four Single Fathers,A Time to Kill
Elizabethtown,Raising Helen,Get Over It,Jersey Girl,Garden State,Four Single Fathers
"You, Me and Dupree",Ghost,Farce of the Penguins,My Best Friend's Wedding,Four Weddings and a Funeral,Walking and Talking
Superman II,Superman Returns,Superman IV: The Quest for Peace,Superman III,Superman,Man of Steel
Gigli,Redemption Road,Layer Cake,We Own the Night,Raymond Did It,Horrible Bosses 2
All the King's Men,Kansas City,Cradle Will Rock,The Face of an Angel,Casino Jack,The Pledge
Shaft,Kiss of the Dragon,Walking Tall,Nighthawks,Scarface,I Am Wrath
Anastasia,Return to Never Land,The True Story of Puss 'n Boots,Nicholas Nickleby,Ice Age: The Meltdown,Jonah: A VeggieTales Movie
Moulin Rouge!,The Last Five Years,Bandslam,The Cotton Club,Across the Universe,Mr. Holland's Opus
Domestic Disturbance,Double Jeopardy,All Good Things,Safe,Dutch Kills,I Am Wrath
Black Mass,Find Me Guilty,Donnie Brasco,The Departed,The Longshots,GoodFellas
Flags of Our Fathers,Letters from Iwo Jima,Red Tails,Windtalkers,The Railway Man,The Thin Red Line
Law Abiding Citizen,I Am Wrath,Slow Burn,Easy Money,Deadfall,The Iceman
Grindhouse,Diary of the Dead,A Beginner's Guide to Snuff,Jennifer's Body,Night of the Living Dead,The Omen
Beloved,Rosemary's Baby,The Exorcist,In Dreams,Godsend,Room
Lucky You,Casino,Supercross,The Time Traveler's Wife,Casino Royale,Housefull
Catch Me If You Can,The Naked Gun 33⅓: The Final Insult,Everybody's Fine,Hot Rod,The X Files: I Want to Believe,Nine Queens
Zero Dark Thirty,The Siege,United 93,Jack Ryan: Shadow Recruit,Mission: Impossible,JFK
The Break-Up,The Good Night,Newlyweds,Summer Catch,Breakin' All the Rules,Chicago
Mamma Mia!,Divine Secrets of the Ya-Ya Sisterhood,Jersey Girl,Spanglish,It's a Wonderful Afterlife,"Definitely, Maybe"
Valentine's Day,Valentine,Love and Other Catastrophes,The Time Traveler's Wife,The DUFF,Some Like It Hot
The Dukes of Hazzard,Babe: Pig in the City,Rango,Silverado,Blazing Saddles,Knockaround Guys
The Thin Red Line,Letters from Iwo Jima,Red Tails,Fury,Fort McCoy,Windtalkers
The Change-Up,Human Traffic,Enough,Cyrus,From Justin to Kelly,Hot Tub Time Machine
Man on the Moon,Annie Hall,One Day,Top Five,Anomalisa,Solitary Man
Casino,Lucky You,Wild Card,GoodFellas,Blood Ties,Donnie Brasco
From Paris with Love,The November Man,Gun Shy,The Assassination of Jesse James by the Coward Robert Ford,Sicario,Harsh Times
Bulletproof Monk,Legend of a Rabbit,Kung Fu Hustle,Kung Pow: Enter the Fist,Kung Fu Panda 2,The Helix... Loaded
"Me, Myself & Irene",Good Luck Chuck,Swept Away,The Perfect Match,Hit & Run,Movie 43
Barnyard,Animals United,Babe: Pig in the City,Ri¢hie Ri¢h,Madagascar,Home on the Range
Deck the Halls,Christmas with the Kranks,Love the Coopers,A Charlie Brown Christmas,Serial Mom,My Big Fat Greek Wedding 2
The Twilight Saga: New Moon,The Twilight Saga: Eclipse,Twilight,The Twilight Saga: Breaking Dawn - Part 2,Underworld: Awakening,Underworld
Shrek,Shrek 2,Aladdin,Shrek Forever After,Shrek the Third,Puss in Boots
The Adjustment Bureau,The House of Mirth,Code 46,Terminator Genisys,Automata,Hav Plenty
Robin Hood: Prince of Thieves,Robin and Marian,Tomorrow Never Dies,Robin Hood,The Golden Child,Unforgiven
Jerry Maguire,Elmer Gantry,Just Wright,24 7: Twenty Four Seven,"New York, New York",The Spectacular Now
Ted,Housefull,Ernest & Celestine,Forrest Gump,Juliet and Alfa Romeo,Heavenly Creatures
As Good as It Gets,Raising Helen,Bella,The Big Hit,American Hero,"Synecdoche, New York"
Patch Adams,Dragonfly,The Country Doctor,Fear Clinic,Godsend,Barry Munday
Anchorman 2: The Legend Continues,Anchorman: The Legend of Ron Burgundy,Crocodile Dundee II,Alvin and the Chipmunks: The Road Chip,Four Single Fathers,The Out-of-Towners
Mr. Deeds,Mumford,Rock of Ages,Because of Winn-Dixie,Gabriela,16 to Life
Super 8,April Fool's Day,Pandorum,Truth or Dare,After,Source Code
Erin Brockovich,Auto Focus,Mommie Dearest,The Perfect Man,The Rainmaker,Winnie Mandela
How to Lose a Guy in 10 Days,Fever Pitch,From Justin to Kelly,40 Days and 40 Nights,When Harry Met Sally...,Shallow Hal
22 Jump Street,21 Jump Street,College,Adventureland,Superbad,Blue Like Jazz
Interview with the Vampire,The Little Vampire,The Twilight Saga: Breaking Dawn - Part 2,The Twilight Saga: Eclipse,Dracula 2000,Blade
Yes Man,Dry Spell,Martin Lawrence Live: Runteldat,Raising Helen,Up,The Truman Show
Central Intelligence,Spy Kids: All the Time in the World,Once Upon a Time in Mexico,Cars 2,The Helix... Loaded,Mission: Impossible
